,count,mean,std,min,25%,50%,75%,max
fixed acidity,1599.0,8.31963727329581,1.7410963181276953,4.6,7.1,7.9,9.2,15.9
volatile acidity,1599.0,0.5278205128205128,0.17905970415353537,0.12,0.39,0.52,0.64,1.58
citric acid,1599.0,0.2709756097560976,0.19480113740531857,0.0,0.09,0.26,0.42,1.0
residual sugar,1599.0,2.53880550343965,1.4099280595072798,0.9,1.9,2.2,2.6,15.5
chlorides,1599.0,0.08746654158849279,0.047065302010090106,0.012,0.07,0.079,0.09,0.611
free sulfur dioxide,1599.0,15.874921826141339,10.460156969809725,1.0,7.0,14.0,21.0,72.0
total sulfur dioxide,1599.0,46.46779237023139,32.895324478299074,6.0,22.0,38.0,62.0,289.0
density,1599.0,0.996746679174484,0.0018873339538425563,0.9900700000000001,0.9956,0.99675,0.9978349999999999,1.00369
pH,1599.0,3.3111131957473416,0.15438646490354277,2.74,3.21,3.31,3.4,4.01
sulphates,1599.0,0.6581488430268917,0.16950697959010996,0.33,0.55,0.62,0.73,2.0
alcohol,1599.0,10.422983114446529,1.0656675818473946,8.4,9.5,10.2,11.1,14.9
